time_y,drainage_area_m2,depr_area_m2,depr_depth_m,depr_perimeter_m,debr_removed_m3
3.284499999999999886e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.531559461196081884e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.285000000000000142e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.532214694765173135e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.285500000000000398e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.532832551296621659e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.285999999999999943e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.533413606392571182e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.286500000000000199e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.533958427545030645e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.286999999999999744e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.534467574245297783e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.287500000000000000e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.534941598109014649e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.288000000000000256e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.535381042968538168e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.288499999999999801e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.535786444992311317e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.289000000000000057e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.536158332788602365e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.289500000000000313e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.536497227514928454e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.289999999999999858e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.536803642974689410e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.290500000000000114e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.537078085726591326e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.291000000000000369e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.537321055181280371e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.291499999999999915e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.537533043703660951e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.292000000000000171e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.537714536710950597e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.292499999999999716e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.537866012767892698e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.292999999999999972e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.537987943683390313e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.293500000000000227e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.538080794608561064e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.293999999999999773e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.538145024123423354e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.294500000000000028e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.538181084333530180e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.295000000000000284e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.538189420955234255e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.295499999999999829e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.538170473412321826e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.296000000000000085e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.538124674919856716e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.296500000000000341e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.538052452569445450e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.296999999999999886e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.537954227415923469e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.297500000000000142e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.537830414562620263e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.298000000000000398e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.537681423245203405e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.298499999999999943e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.537507656911259346e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.299000000000000199e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.537309513305558539e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.299499999999999744e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.537087384548215141e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.300000000000000000e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.536841657208583456e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.300500000000000256e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.536572712387680895e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.300999999999999801e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.536280925793505503e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.301500000000000057e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.535966667817774578e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.302000000000000313e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.535630303608400027e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.302499999999999858e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.535272193143384811e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.303000000000000114e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.534892691303298307e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.303500000000000369e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.534492147940909490e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.303999999999999915e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.534070907949399043e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.304500000000000171e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.533629311346203394e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.304999999999999716e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.533167693319910541e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.305499999999999972e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.532686384315525174e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.306000000000000227e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.532185710089891018e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.306499999999999773e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.531665991779902924e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.307000000000000028e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.531127545970718984e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.307500000000000284e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.530570684758288280e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.307999999999999829e+01,1.615000000000000000e+03,1.100000000000000000e+02,9.529995715807615397e-02,5.600000000000000000e+01,2.009353129741012385e-04
3.308500000000000085e+01,1.616000000000000000e+03,1.100000000000000000e+02,9.529402942419551437e-02,5.600000000000000000e+01,2.009975124224178252e-04
3.309000000000000341e+01,1.617000000000000000e+03,1.100000000000000000e+02,9.528792665916796523e-02,5.600000000000000000e+01,2.010596926288310126e-04
3.309499999999999886e+01,1.617000000000000000e+03,1.100000000000000000e+02,9.528165182865677707e-02,5.600000000000000000e+01,2.010596926288310126e-04
3.310000000000000142e+01,1.617000000000000000e+03,1.100000000000000000e+02,9.527520783849752206e-02,5.600000000000000000e+01,2.010596926288310126e-04
3.310500000000000398e+01,1.617000000000000000e+03,1.100000000000000000e+02,9.526859755729333301e-02,5.600000000000000000e+01,2.010596926288310126e-04
3.310999999999999943e+01,1.617000000000000000e+03,1.100000000000000000e+02,9.526182380656678106e-02,5.600000000000000000e+01,2.010596926288310126e-04
3.311500000000000199e+01,1.617000000000000000e+03,1.100000000000000000e+02,9.525488936772319448e-02,5.600000000000000000e+01,2.010596926288310126e-04
3.311999999999999744e+01,1.617000000000000000e+03,1.100000000000000000e+02,9.524779698263330374e-02,5.600000000000000000e+01,2.010596926288310126e-04
3.312500000000000000e+01,1.617000000000000000e+03,1.100000000000000000e+02,9.524054935423009738e-02,5.600000000000000000e+01,2.010596926288310126e-04
3.313000000000000256e+01,1.617000000000000000e+03,1.100000000000000000e+02,9.523314914686409338e-02,5.600000000000000000e+01,2.010596926288310126e-04
3.313499999999999801e+01,1.617000000000000000e+03,1.100000000000000000e+02,9.522559898711335791e-02,5.600000000000000000e+01,2.010596926288310126e-04
3.314000000000000057e+01,1.617000000000000000e+03,1.100000000000000000e+02,9.521790146405351152e-02,5.600000000000000000e+01,2.010596926288310126e-04
3.314500000000000313e+01,1.617000000000000000e+03,1.100000000000000000e+02,9.521005912998248277e-02,5.600000000000000000e+01,2.010596926288310126e-04
3.314999999999999858e+01,1.617000000000000000e+03,1.100000000000000000e+02,9.520207450081841216e-02,5.600000000000000000e+01,2.010596926288310126e-04
3.315500000000000114e+01,1.618000000000000000e+03,1.100000000000000000e+02,9.519395005662545373e-02,5.600000000000000000e+01,2.011218536111876627e-04
3.316000000000000369e+01,1.619000000000000000e+03,1.100000000000000000e+02,9.518568826140949568e-02,5.600000000000000000e+01,2.011839953873071263e-04
3.316499999999999915e+01,1.619000000000000000e+03,1.100000000000000000e+02,9.517729154562459826e-02,5.600000000000000000e+01,2.011839953873071263e-04
3.317000000000000171e+01,1.619000000000000000e+03,1.100000000000000000e+02,9.516876228734361121e-02,5.600000000000000000e+01,2.011839953873071263e-04
3.317499999999999716e+01,1.619000000000000000e+03,1.100000000000000000e+02,9.516010283080333920e-02,5.600000000000000000e+01,2.011839953873071263e-04
3.317999999999999972e+01,1.619000000000000000e+03,1.100000000000000000e+02,9.515131548683086748e-02,5.600000000000000000e+01,2.011839953873071263e-04
3.318500000000000227e+01,1.619000000000000000e+03,1.100000000000000000e+02,9.514240253331252006e-02,5.600000000000000000e+01,2.011839953873071263e-04
3.318999999999999773e+01,1.619000000000000000e+03,1.100000000000000000e+02,9.513336621573387220e-02,5.600000000000000000e+01,2.011839953873071263e-04
3.319500000000000028e+01,1.619000000000000000e+03,1.100000000000000000e+02,9.512420874749238919e-02,5.600000000000000000e+01,2.011839953873071263e-04
3.320000000000000284e+01,1.619000000000000000e+03,1.100000000000000000e+02,9.511493231040901719e-02,5.600000000000000000e+01,2.011839953873071263e-04
3.320499999999999829e+01,1.619000000000000000e+03,1.100000000000000000e+02,9.510553905526819563e-02,5.600000000000000000e+01,2.011839953873071263e-04
3.321000000000000085e+01,1.619000000000000000e+03,1.100000000000000000e+02,9.509603110205944176e-02,5.600000000000000000e+01,2.011839953873071263e-04
3.321500000000000341e+01,1.619000000000000000e+03,1.100000000000000000e+02,9.508641054057420661e-02,5.600000000000000000e+01,2.011839953873071263e-04
3.321999999999999886e+01,1.619000000000000000e+03,1.100000000000000000e+02,9.507667943074693540e-02,5.600000000000000000e+01,2.011839953873071263e-04
3.322500000000000142e+01,1.619000000000000000e+03,1.100000000000000000e+02,9.506683980306718240e-02,5.600000000000000000e+01,2.011839953873071263e-04
3.323000000000000398e+01,1.619000000000000000e+03,1.100000000000000000e+02,9.505689365906277999e-02,5.600000000000000000e+01,2.011839953873071263e-04
