time(y),mp_elev(m),dep_area(m^2)
49.2,1.2988053692180017,2175.0
49.400000000000006,1.2912367409060437,2180.0
49.6,1.2837605864805397,2195.0
49.800000000000004,1.2762751021536047,2199.0
50.0,1.268780692340897,2207.0
50.2,1.2612777659793437,2217.0
50.400000000000006,1.2537667364703253,2225.0
50.6,1.246248021613468,2227.0
50.800000000000004,1.238722043531439,2229.0
51.0,1.2311892285860893,2237.0
51.2,1.22365000728594,2239.0
51.400000000000006,1.2161048141853428,2243.0
51.6,1.2085540877756245,2249.0
51.800000000000004,1.2009982703683448,2255.0
52.0,1.1934378079709376,2257.0
52.2,1.1858731501543076,2261.0
52.400000000000006,1.1783047499114474,2263.0
52.6,1.1707330635128415,2267.0
52.800000000000004,1.1631585503572666,2269.0
53.0,1.1555816728147335,2277.0
53.2,1.1480028960630477,2281.0
53.400000000000006,1.140422687918928,2291.0
53.6,1.1330225288433553,2298.0
53.800000000000004,1.1256459283006421,2312.0
54.0,1.1182704052133374,2316.0
54.2,1.1108963806531307,2324.0
54.400000000000006,1.103524277503169,2334.0
54.6,1.0961545203232674,2338.0
54.800000000000004,1.0887875352101304,2342.0
55.0,1.0814237496530268,2348.0
55.2,1.07406359238486,2356.0
55.400000000000006,1.0667074932291598,2358.0
55.6,1.0593558829429952,2360.0
55.800000000000004,1.0520091930562785,2366.0
56.0,1.044667855707388,2370.0
56.2,1.0373323034754662,2376.0
56.400000000000006,1.030002969209022,2380.0
56.6,1.0226802858503845,2382.0
56.800000000000004,1.0153646862611225,2386.0
57.0,1.008056603045759,2388.0
57.2,1.0007564683720602,2392.0
57.400000000000006,0.9934647137894217,2398.0
57.6,0.9861817700457749,2402.0
57.800000000000004,0.979033469083987,2407.0
58.0,0.9719604208494133,2417.0
58.2,0.964898399556418,2419.0
58.400000000000006,0.957847784814021,2427.0
58.6,0.950808954585554,2433.0
58.800000000000004,0.9437822850457138,2437.0
59.0,0.9367681504367198,2440.0
59.2,0.929766922923875,2444.0
59.400000000000006,0.9227789724504731,2446.0
59.6,0.9158046665923649,2454.0
59.800000000000004,0.9088443704123392,2468.0
60.0,0.9018984463146182,2472.0
60.2,0.8949672538993667,2480.0
60.400000000000006,0.8880511498176418,2486.0
60.6,0.8811504876264991,2492.0
60.800000000000004,0.8742656176436725,2494.0
61.0,0.8673968868043147,2506.0
61.2,0.8605446385210058,2512.0
61.400000000000006,0.8537092125437198,2514.0
61.6,0.8468909448210411,2518.0
61.800000000000004,0.840090167362689,2520.0
62.0,0.8333072081039461,2524.0
62.2,0.8266921251730821,2527.0
62.400000000000006,0.8201243512725824,2539.0
62.6,0.8135761311500431,2541.0
62.800000000000004,0.8070477366602091,2551.0
63.0,0.8005394350313395,2565.0
63.2,0.7940514887753807,2565.0
63.400000000000006,0.7875841556002712,2565.0
63.6,0.7811376883241365,2569.0
63.800000000000004,0.7747123347919427,2569.0
64.0,0.7683083377943234,2575.0
64.2,0.7619259349889802,2581.0
64.4,0.7555653588243985,2587.0
64.60000000000001,0.749226836466363,2589.0
64.8,0.7429105897270034,2593.0
65.0,0.7366168349964397,2597.0
65.2,0.7303457831763609,2605.0
65.4,0.7240976396175256,2613.0
65.60000000000001,0.7178726040619239,2617.0
65.8,0.7116708705872838,2617.0
66.0,0.7054926275542641,2621.0
66.2,0.6993380575569432,2623.0
66.4,0.6932073373766059,2629.0
66.60000000000001,0.6871721274821567,2634.0
66.8,0.681256451456207,2638.0
67.0,0.6753657890681666,2644.0
67.2,0.6695002611182304,2656.0
67.4,0.6636599824951617,2664.0
67.60000000000001,0.6578450621748999,2668.0
67.8,0.6520556032219105,2668.0
68.0,0.6462917027937749,2676.0
68.2,0.6405534521487937,2684.0
68.4,0.6348409366565875,2686.0
68.60000000000001,0.6291542358117965,2696.0
68.8,0.6234934232508778,2708.0
69.0,0.6178585667718579,2710.0
69.2,0.6122497283570709,2716.0
69.4,0.606666964198979,2720.0
69.60000000000001,0.6011103247283671,2724.0
69.8,0.595579854645095,2726.0
